Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created,Actual_Churn,Predicted_Churn
1,9,3.42,7,Laptop,Romance,Africa,On-Time,Basic,0,24,3046,Yes,3,0,0
14,4,3.58,1,Laptop,Comedy,South America,On-Time,Basic,8,47,3909,No,2,1,1
59,8,5.51,9,Laptop,Drama,Africa,On-Time,Basic,9,57,2173,Yes,3,0,0
32,8,2.18,8,Mobile,Romance,Asia,On-Time,Standard,5,50,7335,No,1,0,0
21,9,5.01,8,Smart TV,Action,Asia,On-Time,Basic,10,33,5713,Yes,5,0,0
22,7,4.4,8,Tablet,Action,Europe,On-Time,Basic,5,33,7908,Yes,5,0,0
8,7,5.93,10,Tablet,Action,Asia,Delayed,Standard,2,70,1687,Yes,3,1,1
12,8,4.59,9,Smart TV,Sci-fi,Asia,On-Time,Standard,10,58,2031,Yes,1,0,0
2,8,1.02,9,Mobile,Romance,Asia,On-Time,Basic,7,35,4696,No,5,0,0
29,10,5.51,8,Smart TV,Comedy,South America,On-Time,Basic,3,59,7515,Yes,1,0,0
6,9,5.92,9,Laptop,Comedy,Asia,On-Time,Basic,7,58,3521,Yes,1,0,0
40,10,1.12,7,Smart TV,Comedy,Europe,On-Time,Standard,0,44,3448,No,3,0,0
31,8,5.81,10,Smart TV,Comedy,Europe,On-Time,Standard,6,49,7175,Yes,5,0,0
22,2,2.17,4,Mobile,Sci-fi,Africa,On-Time,Standard,5,70,4490,No,3,1,1
24,9,2.72,10,Tablet,Drama,North America,On-Time,Basic,1,53,7636,No,5,0,0
50,7,3.95,10,Mobile,Drama,Africa,On-Time,Standard,1,22,8661,Yes,4,0,0
25,9,4.07,9,Smart TV,Action,Europe,On-Time,Basic,0,21,7614,No,2,0,0
11,9,1.54,8,Tablet,Romance,Africa,On-Time,Standard,3,27,4408,No,4,0,0
32,9,4.85,8,Smart TV,Action,Africa,On-Time,Premium,0,41,6066,No,1,0,0
57,6,4.59,2,Tablet,Sci-fi,Europe,On-Time,Standard,4,35,2965,Yes,4,0,0
31,10,4.14,10,Laptop,Drama,Oceania,On-Time,Basic,4,67,4395,Yes,2,0,0
10,8,1.28,9,Smart TV,Sci-fi,South America,On-Time,Premium,0,54,7620,No,5,0,0
9,9,2.07,10,Mobile,Action,Africa,On-Time,Basic,7,56,5962,Yes,2,0,0
5,8,6.0,8,Mobile,Sci-fi,North America,On-Time,Standard,2,66,6741,No,2,0,0
24,7,3.08,7,Tablet,Action,South America,On-Time,Premium,2,55,4679,Yes,5,0,0
32,8,1.87,9,Mobile,Comedy,Asia,On-Time,Premium,6,46,3656,Yes,5,0,0
58,4,2.38,3,Laptop,Comedy,Africa,On-Time,Basic,1,29,2213,Yes,1,0,0
56,1,4.33,1,Tablet,Drama,South America,On-Time,Premium,4,62,4042,No,5,0,0
25,9,4.11,9,Smart TV,Drama,Africa,On-Time,Basic,10,28,5651,Yes,5,0,0
46,2,5.8,6,Mobile,Drama,North America,On-Time,Premium,10,42,8945,Yes,3,0,0
13,8,3.03,7,Smart TV,Romance,Oceania,Delayed,Basic,4,34,1326,No,3,1,1
10,3,2.87,6,Laptop,Action,North America,On-Time,Basic,6,32,3848,Yes,4,0,0
16,10,5.79,9,Mobile,Action,Oceania,On-Time,Standard,10,44,8572,No,3,0,0
57,10,5.99,10,Tablet,Action,Europe,Delayed,Standard,0,47,1845,No,4,0,0
18,9,4.16,7,Mobile,Romance,Asia,On-Time,Basic,4,37,4018,No,5,0,0
55,8,4.51,8,Laptop,Drama,North America,On-Time,Standard,3,40,7307,Yes,2,0,0
11,2,1.81,2,Laptop,Comedy,Oceania,Delayed,Basic,2,63,7162,Yes,3,1,1
46,2,4.34,4,Tablet,Drama,South America,On-Time,Basic,5,68,5127,Yes,3,0,0
33,7,5.87,9,Laptop,Romance,Africa,On-Time,Basic,8,38,7605,No,3,0,0
9,7,4.68,10,Mobile,Romance,Asia,On-Time,Basic,3,39,7791,No,2,0,0
50,6,2.5,6,Tablet,Drama,Europe,On-Time,Standard,1,68,7270,No,3,0,0
9,2,4.07,4,Tablet,Sci-fi,Oceania,On-Time,Premium,1,48,5191,No,2,0,0
43,1,5.26,1,Tablet,Romance,Europe,On-Time,Standard,5,51,2153,No,1,0,0
60,10,1.08,10,Smart TV,Romance,Europe,Delayed,Premium,0,30,7704,Yes,5,0,0
2,10,5.51,7,Mobile,Drama,Oceania,On-Time,Basic,7,59,6736,Yes,4,0,0
5,8,3.51,9,Laptop,Sci-fi,Africa,On-Time,Basic,6,46,5566,Yes,5,0,0
17,8,5.73,10,Smart TV,Romance,North America,On-Time,Standard,4,26,9848,Yes,5,0,0
5,2,3.59,6,Laptop,Sci-fi,Africa,On-Time,Premium,6,39,9381,Yes,2,0,0
25,9,5.43,8,Smart TV,Action,North America,On-Time,Standard,4,63,6255,Yes,3,0,0
28,4,4.68,1,Tablet,Action,South America,On-Time,Standard,1,57,2243,No,5,0,0
52,8,2.23,8,Tablet,Comedy,North America,On-Time,Basic,1,24,9712,Yes,5,0,0
38,8,5.04,8,Mobile,Comedy,Oceania,On-Time,Standard,10,26,8334,Yes,4,0,0
8,8,1.64,9,Mobile,Romance,North America,On-Time,Standard,6,64,5845,Yes,2,0,0
19,7,4.26,9,Tablet,Drama,Africa,On-Time,Standard,10,33,8211,Yes,5,0,0
2,8,4.51,7,Smart TV,Action,Oceania,On-Time,Basic,8,37,5788,Yes,5,0,0
8,4,2.83,4,Smart TV,Sci-fi,Africa,Delayed,Standard,8,68,9721,Yes,3,1,1
51,10,1.04,10,Laptop,Drama,South America,Delayed,Standard,5,23,8084,No,1,0,0
43,10,2.06,7,Tablet,Sci-fi,South America,On-Time,Basic,4,62,3648,Yes,2,0,0
23,1,5.66,6,Smart TV,Sci-fi,Oceania,On-Time,Standard,0,66,3149,Yes,4,0,0
44,3,2.8,1,Tablet,Comedy,Asia,Delayed,Standard,9,32,3841,Yes,4,0,0
51,7,1.91,8,Tablet,Drama,Asia,On-Time,Standard,8,54,3405,Yes,4,0,0
24,9,2.78,9,Mobile,Action,South America,Delayed,Premium,8,67,7771,Yes,1,1,1
37,7,5.87,10,Laptop,Romance,Oceania,Delayed,Standard,6,28,5713,Yes,4,0,0
54,8,5.48,9,Smart TV,Sci-fi,Africa,On-Time,Premium,9,54,7979,Yes,3,0,0
60,8,4.22,9,Smart TV,Comedy,North America,Delayed,Basic,3,47,8174,No,4,0,0
5,7,2.21,9,Mobile,Action,North America,On-Time,Basic,5,19,1569,Yes,3,0,0
18,10,1.91,8,Tablet,Sci-fi,North America,On-Time,Basic,3,32,5722,No,2,0,0
4,10,3.01,10,Tablet,Comedy,Asia,On-Time,Premium,1,35,5990,Yes,3,0,0
28,9,3.5,8,Laptop,Action,Oceania,On-Time,Premium,1,60,5973,Yes,3,0,0
6,8,1.27,8,Tablet,Action,Africa,On-Time,Basic,9,29,5845,Yes,5,0,0
19,9,1.49,7,Tablet,Romance,Europe,Delayed,Basic,7,61,5585,Yes,3,1,1
42,8,2.16,8,Laptop,Action,Europe,On-Time,Premium,4,31,3717,No,3,0,0
12,5,1.61,1,Tablet,Sci-fi,Africa,On-Time,Standard,7,58,5618,No,2,1,1
38,8,4.5,10,Smart TV,Drama,Africa,On-Time,Premium,4,59,6209,Yes,2,0,0
13,5,5.55,3,Laptop,Romance,Africa,On-Time,Basic,5,53,4277,Yes,2,0,0
30,2,5.96,1,Tablet,Sci-fi,Oceania,Delayed,Premium,0,61,5794,Yes,3,0,0
19,3,2.74,1,Tablet,Romance,North America,On-Time,Basic,10,65,8415,Yes,5,0,0
57,8,1.05,8,Mobile,Sci-fi,Africa,Delayed,Standard,10,40,7898,Yes,4,0,0
23,9,4.58,7,Smart TV,Romance,Asia,Delayed,Standard,4,52,8072,Yes,5,1,1
44,2,2.14,4,Smart TV,Drama,Oceania,On-Time,Basic,5,46,1683,Yes,1,0,0
8,8,4.31,8,Mobile,Sci-fi,Asia,On-Time,Standard,10,69,8364,Yes,1,0,0
25,10,1.76,9,Tablet,Drama,Oceania,On-Time,Standard,2,48,9429,Yes,3,0,0
36,9,5.37,9,Smart TV,Drama,North America,On-Time,Premium,1,64,9184,Yes,2,0,0
14,10,3.82,8,Smart TV,Sci-fi,Asia,Delayed,Standard,2,51,6511,Yes,4,1,1
36,8,4.0,8,Smart TV,Comedy,Africa,Delayed,Premium,6,69,5004,Yes,4,0,0
21,8,4.76,7,Mobile,Romance,Asia,Delayed,Premium,10,68,1357,No,2,1,1
59,9,4.91,10,Tablet,Action,Europe,On-Time,Basic,1,52,2348,No,4,0,0
24,9,2.21,10,Laptop,Comedy,Africa,On-Time,Basic,9,61,7331,Yes,5,0,0
12,7,5.45,9,Smart TV,Romance,South America,On-Time,Premium,1,25,9020,No,3,0,0
17,8,1.7,10,Laptop,Action,Europe,On-Time,Basic,0,60,6656,Yes,3,0,0
8,7,3.72,7,Mobile,Action,North America,On-Time,Standard,7,66,2251,Yes,5,0,0
31,9,2.38,8,Smart TV,Comedy,South America,On-Time,Premium,5,32,3397,Yes,4,0,0
46,8,3.74,10,Mobile,Drama,North America,Delayed,Standard,6,54,3260,No,4,0,0
31,9,2.33,9,Laptop,Comedy,North America,On-Time,Standard,4,59,4795,No,3,0,0
8,4,2.6,6,Tablet,Drama,North America,On-Time,Basic,3,52,1630,Yes,4,0,0
44,10,5.85,9,Laptop,Comedy,Europe,Delayed,Premium,3,61,4031,No,1,0,0
46,1,4.44,4,Mobile,Action,Asia,On-Time,Standard,0,30,9807,No,5,0,0
52,8,1.49,8,Mobile,Sci-fi,North America,Delayed,Basic,9,25,8079,Yes,5,0,0
32,10,3.55,10,Laptop,Comedy,North America,On-Time,Standard,10,62,8719,Yes,3,0,0
1,9,2.0,7,Mobile,Drama,Europe,On-Time,Premium,6,58,1445,Yes,3,0,0
13,5,3.79,5,Laptop,Sci-fi,South America,On-Time,Basic,7,36,3403,Yes,5,0,0
20,4,4.82,6,Laptop,Sci-fi,Asia,On-Time,Premium,1,24,9508,Yes,1,0,0
33,2,5.92,6,Smart TV,Action,Oceania,Delayed,Basic,2,28,6403,Yes,2,0,0
8,9,1.03,7,Smart TV,Romance,Oceania,On-Time,Standard,0,18,8482,Yes,4,0,0
43,7,5.06,8,Tablet,Romance,Africa,Delayed,Basic,5,23,7382,No,4,0,0
5,5,2.45,3,Smart TV,Comedy,South America,On-Time,Basic,10,64,1714,Yes,2,0,0
48,2,4.09,6,Smart TV,Comedy,Africa,On-Time,Basic,4,63,6877,No,4,0,0
31,4,1.77,3,Mobile,Sci-fi,Africa,Delayed,Basic,0,37,6606,Yes,2,0,0
41,9,1.41,7,Tablet,Drama,Oceania,Delayed,Premium,5,39,2996,No,5,0,0
44,4,5.56,6,Tablet,Drama,South America,On-Time,Standard,2,19,5524,Yes,2,0,0
48,6,3.84,6,Smart TV,Romance,North America,Delayed,Standard,1,36,2451,Yes,3,0,0
5,9,3.92,10,Laptop,Drama,Europe,On-Time,Basic,0,39,4609,Yes,2,0,0
9,9,3.33,9,Mobile,Comedy,Asia,On-Time,Premium,3,68,4728,Yes,2,0,0
22,8,5.01,8,Tablet,Sci-fi,Oceania,On-Time,Basic,0,27,3887,No,1,0,0
11,8,2.31,8,Laptop,Sci-fi,Europe,On-Time,Standard,10,69,2559,No,3,0,0
49,3,3.25,1,Smart TV,Action,Africa,On-Time,Basic,7,64,8335,Yes,3,0,0
43,10,5.94,10,Laptop,Drama,North America,On-Time,Premium,3,44,7207,Yes,5,0,0
53,10,2.64,9,Smart TV,Sci-fi,Europe,Delayed,Basic,4,69,6277,No,4,0,0
16,8,1.37,10,Mobile,Comedy,Asia,On-Time,Premium,5,41,4915,No,2,0,0
5,8,2.69,7,Laptop,Comedy,Africa,On-Time,Standard,3,24,9022,No,3,0,0
10,8,4.93,9,Tablet,Comedy,Europe,On-Time,Basic,1,27,3641,Yes,3,0,0
5,8,5.76,7,Tablet,Sci-fi,Africa,On-Time,Basic,2,48,2301,Yes,1,0,0
35,7,3.29,7,Mobile,Action,Oceania,On-Time,Basic,4,36,2512,No,3,0,0
47,9,4.75,10,Tablet,Comedy,Europe,On-Time,Standard,1,20,8298,Yes,2,0,0
49,3,1.13,5,Mobile,Romance,South America,Delayed,Basic,0,56,2188,Yes,1,0,0
58,2,2.37,1,Tablet,Sci-fi,Europe,Delayed,Premium,7,42,5175,No,4,0,0
36,8,4.58,7,Tablet,Action,North America,On-Time,Premium,0,47,9472,Yes,3,0,0
47,8,1.3,10,Mobile,Romance,Oceania,On-Time,Premium,5,56,6785,No,4,0,0
32,10,3.07,9,Laptop,Action,Africa,Delayed,Basic,10,68,3561,No,3,0,0
44,7,4.86,7,Smart TV,Sci-fi,Africa,On-Time,Basic,1,49,1095,Yes,4,0,0
25,4,2.68,6,Tablet,Romance,Africa,On-Time,Standard,8,37,6711,Yes,2,0,0
29,2,4.72,6,Mobile,Drama,Asia,On-Time,Standard,6,37,7064,No,5,0,0
50,8,1.95,10,Smart TV,Sci-fi,Oceania,On-Time,Premium,5,45,2757,Yes,3,0,0
14,8,4.52,8,Mobile,Sci-fi,Asia,On-Time,Standard,5,28,1190,No,1,0,0
11,2,1.77,2,Laptop,Action,North America,Delayed,Basic,7,47,3662,No,4,1,1
6,9,1.65,10,Mobile,Comedy,North America,On-Time,Basic,3,34,2086,No,1,0,0
31,10,4.49,7,Mobile,Action,Asia,Delayed,Basic,4,41,4822,Yes,1,0,0
48,6,4.23,4,Mobile,Comedy,South America,On-Time,Basic,0,36,2509,Yes,1,0,0
5,10,2.64,7,Smart TV,Romance,Asia,On-Time,Basic,3,56,1928,Yes,5,0,0
37,3,3.44,6,Mobile,Comedy,Oceania,On-Time,Premium,3,49,3007,Yes,1,0,0
22,6,5.98,3,Mobile,Action,Oceania,On-Time,Basic,7,37,2630,Yes,1,0,0
58,8,2.73,9,Tablet,Sci-fi,South America,On-Time,Standard,5,27,1594,Yes,4,0,0
28,10,5.88,7,Laptop,Sci-fi,Asia,On-Time,Basic,2,66,1620,No,4,0,0
15,9,2.72,8,Tablet,Sci-fi,North America,Delayed,Standard,6,64,9990,No,1,1,1
45,9,5.21,7,Laptop,Sci-fi,Asia,On-Time,Premium,7,45,9004,Yes,3,0,0
49,8,1.97,9,Smart TV,Comedy,Africa,On-Time,Standard,6,62,1114,Yes,2,0,0
32,5,2.52,3,Laptop,Romance,North America,On-Time,Premium,2,52,2560,No,2,0,0
24,4,1.94,3,Mobile,Action,Oceania,Delayed,Standard,0,63,2237,Yes,1,1,1
47,4,2.11,1,Tablet,Sci-fi,Africa,On-Time,Basic,10,69,4701,No,3,0,0
50,8,3.79,7,Tablet,Romance,North America,On-Time,Basic,5,51,4142,No,5,0,0
3,9,2.38,7,Laptop,Comedy,Africa,On-Time,Basic,9,21,8122,Yes,3,0,0
5,6,1.02,3,Mobile,Action,Oceania,On-Time,Basic,6,55,6696,Yes,3,0,0
22,9,4.07,9,Smart TV,Action,Oceania,On-Time,Basic,2,36,8019,No,2,0,0
26,8,5.76,10,Smart TV,Action,Africa,On-Time,Standard,5,20,4587,No,5,0,0
21,6,4.79,5,Tablet,Comedy,Oceania,On-Time,Basic,6,52,2941,Yes,2,0,0
28,7,4.16,9,Smart TV,Drama,Asia,On-Time,Basic,6,25,4058,Yes,2,0,0
15,7,2.43,10,Mobile,Sci-fi,Europe,On-Time,Premium,6,39,2696,Yes,5,0,0
23,9,5.78,8,Smart TV,Drama,Oceania,On-Time,Basic,0,66,3335,Yes,1,0,0
29,7,5.35,7,Smart TV,Drama,Asia,On-Time,Basic,6,38,6535,Yes,4,0,0
51,4,1.47,2,Tablet,Sci-fi,Oceania,Delayed,Premium,10,54,2849,Yes,4,0,0
32,6,3.48,1,Laptop,Romance,Europe,On-Time,Basic,3,46,6325,No,1,0,0
25,5,3.82,1,Smart TV,Romance,Oceania,Delayed,Premium,6,43,8797,Yes,5,0,0
47,10,1.27,10,Tablet,Drama,Asia,On-Time,Standard,5,31,7637,No,5,0,0
11,10,1.16,7,Mobile,Comedy,Africa,Delayed,Standard,0,21,3591,Yes,4,1,1
14,10,4.06,8,Laptop,Comedy,Asia,On-Time,Basic,0,21,4074,Yes,5,0,0
50,7,5.09,9,Mobile,Action,Oceania,Delayed,Basic,7,47,8754,No,4,0,0
33,9,4.33,8,Smart TV,Comedy,North America,Delayed,Standard,1,70,5500,No,2,0,0
53,9,1.58,7,Laptop,Romance,Asia,Delayed,Standard,2,46,8722,Yes,2,0,0
16,9,2.15,9,Laptop,Drama,North America,On-Time,Basic,3,63,5083,No,1,0,0
39,8,1.13,8,Mobile,Comedy,Africa,Delayed,Premium,7,25,2170,Yes,5,0,0
57,10,2.24,8,Tablet,Romance,North America,On-Time,Basic,4,18,6030,Yes,1,0,0
17,7,2.87,8,Mobile,Sci-fi,Africa,On-Time,Basic,1,31,2013,Yes,4,0,0
42,10,5.13,9,Mobile,Action,North America,Delayed,Basic,10,30,5901,No,2,0,0
16,8,1.57,8,Smart TV,Drama,Oceania,On-Time,Basic,5,52,3663,Yes,2,0,0
43,10,2.48,7,Smart TV,Romance,Oceania,On-Time,Standard,0,29,8293,Yes,2,0,0
58,10,2.17,8,Tablet,Drama,South America,On-Time,Basic,3,26,9590,Yes,2,0,0
13,4,2.31,6,Tablet,Sci-fi,Oceania,On-Time,Standard,7,19,7510,No,1,1,1
29,7,3.01,10,Tablet,Action,Africa,On-Time,Standard,5,62,6164,No,2,0,0
49,7,1.61,10,Smart TV,Sci-fi,Africa,On-Time,Basic,7,34,2404,Yes,4,0,0
40,1,5.98,5,Smart TV,Sci-fi,Oceania,On-Time,Basic,7,21,8105,Yes,2,0,0
12,6,1.75,2,Tablet,Drama,South America,Delayed,Standard,7,24,6288,No,5,1,1
51,10,5.21,10,Tablet,Comedy,Oceania,On-Time,Basic,6,19,2548,Yes,4,0,0
39,3,2.04,4,Laptop,Comedy,North America,On-Time,Basic,10,52,6680,Yes,1,0,0
26,6,2.24,2,Laptop,Romance,Oceania,On-Time,Basic,10,46,9979,No,3,0,0
47,7,1.09,10,Mobile,Action,South America,Delayed,Standard,3,56,6371,No,4,0,0
14,8,5.51,7,Mobile,Action,Europe,On-Time,Basic,1,66,6106,No,4,0,0
21,10,1.21,7,Mobile,Romance,Oceania,On-Time,Basic,1,61,9862,No,5,0,0
56,8,2.06,7,Laptop,Comedy,Asia,Delayed,Basic,0,39,5751,Yes,5,0,0
28,10,4.01,7,Mobile,Sci-fi,Europe,On-Time,Standard,5,42,7869,Yes,4,0,0
7,8,4.07,10,Tablet,Drama,Africa,On-Time,Standard,5,52,9177,Yes,1,0,0
44,10,5.07,10,Mobile,Drama,South America,On-Time,Standard,4,66,8434,No,5,0,0
48,10,4.55,7,Smart TV,Comedy,Europe,On-Time,Basic,5,54,8870,No,1,0,0
13,9,2.68,9,Laptop,Action,North America,On-Time,Standard,4,34,5791,No,5,0,0
46,7,4.45,8,Laptop,Action,Africa,On-Time,Standard,7,22,7162,Yes,1,0,0
46,10,5.27,10,Laptop,Romance,Africa,Delayed,Standard,4,43,5158,Yes,4,0,0
5,9,4.82,9,Mobile,Sci-fi,Africa,Delayed,Basic,9,54,3329,Yes,3,1,1
47,2,1.77,2,Smart TV,Comedy,Asia,On-Time,Standard,9,53,8259,Yes,4,0,0
18,4,3.38,6,Smart TV,Drama,Asia,On-Time,Standard,5,31,5828,Yes,2,0,0
23,8,3.6,10,Smart TV,Comedy,Africa,Delayed,Basic,4,30,4159,No,5,1,1
19,10,2.75,7,Tablet,Romance,Asia,On-Time,Premium,7,45,2449,Yes,5,0,0
37,9,1.06,10,Tablet,Comedy,Oceania,On-Time,Standard,10,60,9061,Yes,4,0,0
13,7,2.39,10,Mobile,Romance,Africa,On-Time,Premium,5,26,7625,Yes,4,0,0
14,9,2.67,8,Smart TV,Sci-fi,Asia,On-Time,Basic,0,21,2945,Yes,2,0,0
60,8,3.1,8,Tablet,Sci-fi,Asia,On-Time,Basic,6,24,6664,Yes,2,0,0
38,7,3.17,8,Smart TV,Comedy,Africa,On-Time,Premium,9,18,8059,Yes,3,0,0
48,10,4.53,10,Tablet,Drama,North America,On-Time,Basic,2,53,3599,Yes,5,0,0
18,4,5.91,6,Smart TV,Comedy,Oceania,On-Time,Basic,4,70,6177,No,1,1,1
52,1,3.07,1,Mobile,Romance,South America,On-Time,Basic,3,34,8881,Yes,2,0,0
5,8,4.66,9,Laptop,Drama,South America,On-Time,Basic,1,64,2834,Yes,2,0,0
54,8,5.39,10,Laptop,Drama,South America,Delayed,Basic,6,26,6219,No,4,0,0
33,3,3.29,6,Laptop,Drama,Europe,On-Time,Basic,10,56,8612,No,3,0,0
20,6,1.95,2,Tablet,Action,North America,On-Time,Standard,10,19,6407,Yes,5,0,0
6,7,5.03,10,Mobile,Drama,Oceania,Delayed,Basic,3,34,5387,No,4,1,1
18,9,3.96,10,Laptop,Comedy,Africa,Delayed,Premium,1,59,9086,No,4,1,1
33,9,3.86,10,Mobile,Action,Asia,On-Time,Basic,3,63,9778,No,1,0,0
45,9,1.48,7,Laptop,Sci-fi,Africa,Delayed,Premium,4,61,2786,Yes,3,0,0
14,9,2.59,8,Smart TV,Sci-fi,North America,On-Time,Basic,6,67,1440,Yes,4,0,0
5,7,2.74,9,Tablet,Action,South America,Delayed,Basic,6,47,5143,Yes,2,1,1
37,4,1.18,4,Mobile,Action,Europe,Delayed,Premium,9,62,6775,Yes,4,0,0
42,9,4.45,8,Smart TV,Romance,Oceania,Delayed,Standard,2,48,6366,No,1,0,0
43,10,2.38,9,Mobile,Sci-fi,Europe,On-Time,Standard,8,31,6715,No,5,0,0
57,9,2.44,8,Tablet,Sci-fi,Europe,Delayed,Standard,0,18,3914,Yes,1,0,0
35,7,5.11,7,Mobile,Romance,Europe,On-Time,Standard,4,49,8336,No,3,0,0
5,7,2.83,10,Tablet,Drama,North America,On-Time,Premium,6,65,4377,Yes,4,0,0
29,3,2.47,2,Tablet,Drama,Asia,Delayed,Basic,10,60,8900,Yes,3,0,0
27,3,4.87,6,Smart TV,Drama,South America,On-Time,Standard,6,41,4818,No,3,0,0
33,10,4.23,10,Tablet,Romance,Africa,On-Time,Premium,4,33,3507,Yes,3,0,0
42,9,4.54,8,Tablet,Romance,Europe,On-Time,Standard,8,24,5851,Yes,5,0,0
4,2,5.59,4,Mobile,Action,Oceania,On-Time,Premium,8,52,6280,Yes,2,0,0
11,8,4.24,8,Smart TV,Romance,Asia,Delayed,Premium,7,42,6986,Yes,3,1,1
58,9,5.78,9,Smart TV,Sci-fi,Asia,On-Time,Basic,7,59,7705,Yes,3,0,0
24,9,3.5,9,Laptop,Action,South America,Delayed,Basic,8,35,7950,Yes,2,1,1
8,8,2.47,10,Smart TV,Comedy,Oceania,On-Time,Basic,6,57,4294,Yes,5,0,0
23,10,2.06,9,Mobile,Comedy,North America,On-Time,Basic,0,49,2270,Yes,2,0,0
6,10,1.98,7,Smart TV,Action,North America,On-Time,Basic,3,55,4306,Yes,5,0,0
7,5,3.06,1,Smart TV,Romance,North America,On-Time,Premium,0,47,7553,Yes,5,0,0
15,10,3.48,9,Mobile,Comedy,Europe,On-Time,Standard,8,63,4519,Yes,5,0,0
48,5,3.11,6,Tablet,Romance,Oceania,On-Time,Basic,5,18,8958,Yes,5,0,0
40,9,4.55,8,Tablet,Sci-fi,Asia,On-Time,Basic,5,66,4231,Yes,5,0,0
26,8,4.77,10,Mobile,Comedy,Africa,On-Time,Basic,0,30,5409,Yes,1,0,0
45,3,4.27,4,Mobile,Drama,Europe,On-Time,Premium,6,29,7301,Yes,4,0,0
15,8,3.17,7,Mobile,Action,North America,On-Time,Basic,10,69,7925,No,5,0,0
19,7,4.16,10,Mobile,Romance,Oceania,Delayed,Premium,8,70,1814,Yes,5,1,1
20,10,5.25,10,Mobile,Sci-fi,North America,Delayed,Basic,4,37,6822,Yes,1,1,1
14,7,2.2,8,Tablet,Romance,South America,On-Time,Premium,0,50,1560,No,2,0,0
1,9,2.48,10,Tablet,Drama,Oceania,On-Time,Basic,5,47,4609,Yes,4,0,0
55,7,1.44,9,Laptop,Sci-fi,Oceania,On-Time,Standard,9,41,2951,Yes,1,0,0
50,7,5.29,9,Tablet,Sci-fi,Africa,On-Time,Premium,4,27,3018,No,5,0,0
16,8,3.61,8,Smart TV,Comedy,North America,On-Time,Basic,0,24,6975,Yes,4,0,0
47,9,3.91,7,Smart TV,Comedy,Oceania,On-Time,Standard,6,50,5888,No,3,0,0
9,8,3.65,9,Laptop,Sci-fi,Europe,On-Time,Basic,1,33,8010,Yes,2,0,0
3,7,5.32,10,Tablet,Action,Europe,On-Time,Premium,0,50,4333,Yes,4,0,0
53,8,4.33,10,Laptop,Drama,Oceania,On-Time,Basic,8,67,6729,No,3,0,0
22,5,5.48,4,Tablet,Comedy,Europe,On-Time,Basic,0,69,4456,Yes,1,0,0
13,7,3.1,7,Smart TV,Sci-fi,Asia,On-Time,Premium,1,65,2706,No,1,0,0
47,9,1.5,10,Tablet,Drama,Asia,On-Time,Standard,9,52,7433,Yes,2,0,0
14,10,3.03,10,Laptop,Romance,South America,Delayed,Basic,10,28,3207,Yes,3,1,1
34,1,3.4,2,Laptop,Drama,Oceania,On-Time,Basic,3,43,9467,Yes,3,0,0
38,9,2.94,8,Tablet,Romance,Africa,On-Time,Standard,3,35,3843,Yes,1,0,0
46,7,3.39,8,Mobile,Drama,Africa,Delayed,Standard,7,32,3752,No,3,0,0
42,10,1.64,9,Laptop,Action,South America,On-Time,Basic,10,20,5168,No,2,0,0
50,8,1.98,8,Mobile,Drama,Oceania,On-Time,Standard,5,58,7289,No,1,0,0
26,8,5.6,9,Laptop,Comedy,Europe,On-Time,Standard,9,18,7902,Yes,5,0,0
14,7,5.66,9,Smart TV,Action,Africa,Delayed,Standard,2,30,7297,No,5,1,1
9,2,1.07,4,Tablet,Comedy,Asia,Delayed,Basic,1,34,5993,No,4,1,1
24,10,1.87,8,Smart TV,Comedy,Europe,On-Time,Basic,9,67,3779,Yes,3,0,0
5,9,1.41,8,Tablet,Comedy,Europe,On-Time,Basic,9,29,9937,No,1,0,0
3,10,1.55,9,Tablet,Romance,North America,On-Time,Standard,5,51,2755,Yes,4,0,0
29,7,2.29,7,Mobile,Drama,South America,On-Time,Basic,7,18,7714,Yes,1,0,0
8,6,4.52,5,Mobile,Comedy,Asia,On-Time,Basic,6,31,2639,No,2,1,1
48,10,3.56,9,Tablet,Sci-fi,Asia,On-Time,Standard,10,29,3527,Yes,4,0,0
22,8,5.29,7,Tablet,Romance,South America,On-Time,Standard,5,36,6406,Yes,1,0,0
50,10,2.2,9,Tablet,Comedy,South America,On-Time,Basic,9,52,3797,No,3,0,0
33,10,1.08,10,Mobile,Drama,Africa,On-Time,Standard,5,49,4628,No,3,0,0
10,7,1.76,7,Laptop,Action,South America,On-Time,Standard,6,39,2767,No,4,0,0
44,7,1.45,7,Mobile,Comedy,South America,On-Time,Standard,4,68,8441,Yes,5,0,0
55,3,4.3,4,Tablet,Action,South America,Delayed,Premium,10,70,5225,Yes,3,0,0
56,3,3.26,6,Tablet,Sci-fi,Africa,On-Time,Basic,0,56,6132,No,1,0,0
4,5,3.24,4,Mobile,Romance,Asia,Delayed,Basic,3,19,7515,Yes,5,1,1
41,5,4.52,4,Mobile,Action,Europe,On-Time,Standard,8,48,3492,Yes,1,0,0
59,5,1.45,6,Smart TV,Action,South America,On-Time,Basic,6,67,9534,Yes,5,0,0
19,8,1.12,8,Smart TV,Action,North America,On-Time,Premium,2,33,3164,No,4,0,0
